CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE325479,08/03/2021 12:00:00 AM,061XX S RUTHERFORD AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,812,13,11,1132463,1863091,41.780548918,-87.789921235,"(41.780548918, -87.789921235)"
JE324394,08/03/2021 12:00:00 AM,038XX W LAKE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1122,37,14,1150845,1901366,41.885242032,-87.721529074,"(41.885242032, -87.721529074)"
JE324502,08/03/2021 12:00:00 AM,043XX W MONROE ST,0810,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,N,N,1115,28,06,1147482,1899309,41.879662518,-87.73393147,"(41.879662518, -87.73393147)"
JE324117,08/03/2021 12:00:00 AM,132XX S HOUSTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,433,10,14,1198762,1817708,41.654607248,-87.548376362,"(41.654607248, -87.548376362)"
JE324040,08/03/2021 12:00:00 AM,001XX N LA SALLE ST,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,GOVERNMENT BUILDING / PROPERTY,N,N,122,42,24,1175110,1901148,41.88413455,-87.632430739,"(41.88413455, -87.632430739)"
JE327612,08/03/2021 12:00:00 AM,039XX S MICHIGAN AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,HOTEL / MOTEL,N,N,213,3,17,1177806,1879008,41.823320055,-87.623203203,"(41.823320055, -87.623203203)"
JE325702,08/03/2021 12:00:00 AM,027XX W GLADYS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1125,27,14,1158174,1898315,41.876723264,-87.694698972,"(41.876723264, -87.694698972)"
JE324610,08/03/2021 12:00:00 AM,003XX S LEAVITT ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,N,Y,1225,27,26,1161789,1898429,41.876961512,-87.681422636,"(41.876961512, -87.681422636)"
JE325507,08/03/2021 12:00:00 AM,016XX E 71ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,N,N,332,5,14,1188642,1858271,41.7661636,-87.584113638,"(41.7661636, -87.584113638)"
JE324044,08/03/2021 12:00:00 AM,001XX N LA SALLE ST,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,GOVERNMENT BUILDING / PROPERTY,N,N,122,42,24,1175114,1900975,41.883659738,-87.632421239,"(41.883659738, -87.632421239)"
JE325664,08/03/2021 12:00:00 AM,022XX N LAMON AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,2522,36,11,1143361,1914411,41.921182095,-87.748685459,"(41.921182095, -87.748685459)"
JE324794,08/03/2021 12:00:00 AM,029XX S FEDERAL ST,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,N,N,133,3,26,1176166,1885210,41.840375885,-87.629033152,"(41.840375885, -87.629033152)"
JE324614,08/03/2021 12:00:00 AM,076XX S PARNELL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,621,17,07,1173857,1854158,41.755217651,-87.638427352,"(41.755217651, -87.638427352)"
JE326156,08/03/2021 12:00:00 AM,036XX S ARCHER AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,912,12,06,1161614,1880357,41.827373751,-87.682568055,"(41.827373751, -87.682568055)"
JE325673,08/03/2021 12:00:00 AM,056XX W IOWA ST,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,N,N,1511,29,02,1138428,1905439,41.896652729,-87.767028373,"(41.896652729, -87.767028373)"
JE331491,08/03/2021 12:00:00 AM,017XX N MOODY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,2513,29,14,1135149,1910826,41.911494094,-87.778943916,"(41.911494094, -87.778943916)"
JE332733,08/03/2021 12:00:00 AM,052XX N GLENWOOD AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,2013,48,11,1166034,1935117,41.977545915,-87.664785998,"(41.977545915, -87.664785998)"
JE333554,08/03/2021 12:00:00 AM,023XX E 79TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,N,N,414,7,11,1193033,1853042,41.751708729,-87.568189818,"(41.751708729, -87.568189818)"
JE335012,08/03/2021 12:00:00 AM,003XX W GRAND AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,1831,42,11,1173958,1903841,41.891550041,-87.636580675,"(41.891550041, -87.636580675)"
JE324048,08/03/2021 12:01:00 AM,086XX S CARPENTER ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,613,21,08B,1170824,1847603,41.73729654,-87.649733314,"(41.73729654, -87.649733314)"
JE327110,08/03/2021 12:01:00 AM,023XX S CANAL ST,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,914,25,06,1173566,1888814,41.850323659,-87.638467037,"(41.850323659, -87.638467037)"
JE335885,08/03/2021 12:01:00 AM,012XX E 46TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,222,4,11,,,,,
JE324016,08/03/2021 12:02:00 AM,056XX S KARLOV AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,813,13,04B,1149991,1867069,41.791143237,-87.725556317,"(41.791143237, -87.725556317)"
JE324038,08/03/2021 12:03:00 AM,002XX W 59TH PL,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,N,N,711,20,15,1175482,1865511,41.786335386,-87.632132979,"(41.786335386, -87.632132979)"
JE324020,08/03/2021 12:10:00 AM,038XX W LAWRENCE AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,N,N,1723,35,03,1149746,1931618,41.968277629,-87.724776384,"(41.968277629, -87.724776384)"
JE324061,08/03/2021 12:20:00 AM,012XX N WELLS ST,5011,OTHER OFFENSE,LICENSE VIOLATION,APARTMENT,N,N,1821,2,26,1174490,1908429,41.904127884,-87.634489654,"(41.904127884, -87.634489654)"
JE324029,08/03/2021 12:24:00 AM,063XX S LOOMIS BLVD,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,STREET,N,N,724,16,04A,1168083,1862716,41.778827947,-87.659341759,"(41.778827947, -87.659341759)"
JE324076,08/03/2021 12:26:00 AM,009XX W AGATITE AVE,0553,ASSAULT,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,APARTMENT,Y,Y,1914,46,04A,1169161,1929732,41.962701775,-87.653443755,"(41.962701775, -87.653443755)"
