CASE#,DATE  OF OCCURRENCE,BLOCK, PRIMARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,WARD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JD303473,7/20/2020 5:08,070XX S ASHLAND AVE,ROBBERY,GAS STATION,N,17,1166899,1857936,41.76573639,-87.66381882,"(41.76573639, -87.66381882)"
JD303462,7/20/2020 5:12,055XX W WASHINGTON BLVD,BATTERY,APARTMENT,N,29,1139353,1900199,41.88225671,-87.7637587,"(41.882256707, -87.763758704)"
JD303465,7/20/2020 5:13,075XX S SOUTH SHORE DR,BATTERY,PARKING LOT / GARAGE (NON RESIDENTIAL),N,7,1196126,1856148,41.76015578,-87.55675291,"(41.76015578, -87.556752911)"
JD303464,7/20/2020 5:14,006XX N WABASH AVE,WEAPONS VIOLATION,STREET,N,42,1176615,1904890,41.89436893,-87.62679113,"(41.894368931, -87.626791129)"
JD303476,7/20/2020 5:18,003XX S KOSTNER AVE,OTHER OFFENSE,APARTMENT,N,28,1147109,1898126,41.87642337,-87.73533135,"(41.876423368, -87.735331352)"
JD303637,7/20/2020 5:30,002XX S LOTUS AVE,ASSAULT,APARTMENT,N,29,1139915,1898595,41.87784487,-87.76173424,"(41.87784487, -87.761734235)"
JD303469,7/20/2020 5:34,045XX W FIFTH AVE,BATTERY,STREET,Y,24,1146131,1895495,41.86922223,-87.73898917,"(41.869222227, -87.738989172)"
JD303559,7/20/2020 5:53,071XX W HIGGINS AVE,MOTOR VEHICLE THEFT,GAS STATION,N,41,1127535,1936100,41.98098057,-87.80634503,"(41.980980571, -87.806345033)"
JD304880,7/20/2020 6:00,079XX S WINCHESTER AVE,THEFT,RESIDENCE - YARD (FRONT / BACK),N,17,1164738,1852047,41.74962203,-87.67190558,"(41.749622027, -87.671905584)"
JD306339,7/20/2020 6:00,105XX S WHIPPLE ST,OTHER OFFENSE,RESIDENCE,N,19,1157838,1834585,41.7018461,-87.69766275,"(41.701846097, -87.697662752)"
JD303477,7/20/2020 6:00,063XX S ASHLAND AVE,THEFT,SIDEWALK,N,16,1166755,1862766,41.77899361,-87.66420889,"(41.778993612, -87.664208891)"
JD303491,7/20/2020 6:23,039XX W OGDEN AVE,WEAPONS VIOLATION,PARKING LOT / GARAGE (NON RESIDENTIAL),Y,22,1150249,1889005,41.85133365,-87.72403989,"(41.851333654, -87.724039888)"
JD303507,7/20/2020 6:26,013XX S FARRAR DR,ASSAULT,PARK PROPERTY,Y,24,1157684,1893757,41.86422564,-87.69662224,"(41.864225644, -87.696622239)"
JD304338,7/20/2020 6:30,009XX W WELLINGTON AVE,MOTOR VEHICLE THEFT,STREET,N,44,1169570,1920116,41.93630619,-87.65222099,"(41.936306189, -87.652220986)"
JD332514,7/20/2020 6:30,023XX S MILLARD AVE,OTHER OFFENSE,APARTMENT,N,22,1152407,1888188,41.84904942,-87.71614102,"(41.849049417, -87.716141018)"
JD303526,7/20/2020 6:36,084XX S ADA ST,BATTERY,RESIDENCE,N,21,1168800,1848793,41.74060595,-87.65711442,"(41.740605947, -87.657114415)"
JD303493,7/20/2020 6:40,055XX W GRAND AVE,BATTERY,STREET,N,36,1138788,1913480,41.91871165,-87.76551063,"(41.918711651, -87.76551063)"
JD304146,7/20/2020 6:45,005XX S HOYNE AVE,THEFT,STREET,N,27,1162479,1897525,41.87446645,-87.67891447,"(41.874466446, -87.678914471)"
